Datetime	longitude	latitude	t2m	z	tp
2014-01-20 13:00:00	-77.75	-9.25	284.26633	37063.72	0.000633684
2014-01-20 19:00:00	-77.75	-9.25	280.10986	37063.72	1.3838522e-05
2014-01-21 01:00:00	-77.75	-9.25	278.03287	37063.72	0.0
2014-01-21 07:00:00	-77.75	-9.25	279.226	37063.72	0.0
2014-01-21 13:00:00	-77.75	-9.25	285.9691	37063.72	0.00031668134
2014-01-21 19:00:00	-77.75	-9.25	281.10947	37063.72	2.8642826e-05
2014-01-22 01:00:00	-77.75	-9.25	278.04205	37063.72	0.0
2014-01-22 07:00:00	-77.75	-9.25	278.9161	37063.72	0.0
2014-01-22 13:00:00	-77.75	-9.25	284.9364	37063.72	0.000396817
2014-01-22 19:00:00	-77.75	-9.25	282.10907	37063.72	2.4459325e-05
2014-01-23 01:00:00	-77.75	-9.25	278.69806	37063.72	1.931563e-06
2014-01-23 07:00:00	-77.75	-9.25	279.06555	37063.72	0.0
2014-01-23 13:00:00	-77.75	-9.25	284.61423	37063.72	0.0014427658
2014-01-23 19:00:00	-77.75	-9.25	279.78525	37063.72	0.0003565885
2014-01-24 01:00:00	-77.75	-9.25	278.6901	37063.72	0.00014257059
2014-01-24 07:00:00	-77.75	-9.25	280.6801	37063.72	1.8987805e-05
2014-01-24 13:00:00	-77.75	-9.25	285.3186	37063.72	0.00070963614
2014-01-24 19:00:00	-77.75	-9.25	280.0578	37063.72	0.00013195071
2014-01-25 01:00:00	-77.75	-9.25	278.3863	37063.72	0.0
2014-01-25 07:00:00	-77.75	-9.25	279.8765	37063.72	0.0
2014-01-25 13:00:00	-77.75	-9.25	283.2036	37063.72	0.0012255302
2014-01-25 19:00:00	-77.75	-9.25	281.36917	37063.72	5.7928264e-06
2014-01-26 01:00:00	-77.75	-9.25	278.17682	37063.72	0.0
2014-01-26 07:00:00	-77.75	-9.25	278.18906	37063.72	0.0
2014-01-26 13:00:00	-77.75	-9.25	284.54315	37063.72	0.00011167489
2014-01-26 19:00:00	-77.75	-9.25	281.97186	37063.72	0.0
2014-01-27 01:00:00	-77.75	-9.25	278.1817	37063.72	0.0
2014-01-27 07:00:00	-77.75	-9.25	278.81873	37063.72	0.0
2014-01-27 13:00:00	-77.75	-9.25	285.23346	37063.72	0.00023654569
2014-01-27 19:00:00	-77.75	-9.25	281.35202	37063.72	4.827976e-06
2014-01-28 01:00:00	-77.75	-9.25	278.98163	37063.72	1.2870878e-06
2014-01-28 07:00:00	-77.75	-9.25	280.65866	37063.72	0.0
2014-01-28 13:00:00	-77.75	-9.25	284.65894	37063.72	0.0003781505
2014-01-28 19:00:00	-77.75	-9.25	281.6993	37063.72	5.5676326e-05
2014-01-29 01:00:00	-77.75	-9.25	277.54898	37063.72	0.0
2014-01-29 07:00:00	-77.75	-9.25	277.9122	37063.72	0.0
2014-01-29 13:00:00	-77.75	-9.25	285.43005	37063.72	0.0002021091
2014-01-29 19:00:00	-77.75	-9.25	281.7636	37063.72	9.429641e-05
2014-01-30 01:00:00	-77.75	-9.25	278.8377	37063.72	1.931563e-06
2014-01-30 07:00:00	-77.75	-9.25	279.9218	37063.72	2.8964132e-06
2014-01-30 13:00:00	-77.75	-9.25	286.67468	37063.72	0.0004682634
2014-01-30 19:00:00	-77.75	-9.25	280.968	37063.72	0.0003308421
2014-01-31 01:00:00	-77.75	-9.25	279.53107	37063.72	0.0005731797
2014-01-31 07:00:00	-77.75	-9.25	280.3659	37063.72	5.0205737e-05
2014-01-31 13:00:00	-77.75	-9.25	285.08585	37063.72	0.0012197373
2014-01-31 19:00:00	-77.75	-9.25	280.61948	37063.72	0.00029576197
2014-02-01 01:00:00	-77.75	-9.25	279.23584	37063.72	0.00032279547
2014-02-01 07:00:00	-77.75	-9.25	280.53925	37063.72	6.533135e-05
2014-02-01 13:00:00	-77.75	-9.25	286.4456	37063.72	0.001244518
2014-02-01 19:00:00	-77.75	-9.25	280.5631	37063.72	0.0002516713
2014-02-02 01:00:00	-77.75	-9.25	278.60678	37063.72	9.5905736e-05
2014-02-02 07:00:00	-77.75	-9.25	279.75952	37063.72	2.70335e-05
2014-02-02 13:00:00	-77.75	-9.25	284.4568	37063.72	0.0019580154
2014-02-02 19:00:00	-77.75	-9.25	281.5321	37063.72	6.726291e-05
2014-02-03 01:00:00	-77.75	-9.25	279.11517	37063.72	9.657815e-07
2014-02-03 07:00:00	-77.75	-9.25	279.5764	37063.72	1.2870878e-06
2014-02-03 13:00:00	-77.75	-9.25	285.80307	37063.72	0.00037107058
2014-02-03 19:00:00	-77.75	-9.25	280.73645	37063.72	1.0942109e-05
2014-02-04 01:00:00	-77.75	-9.25	278.79788	37063.72	0.0
2014-02-04 07:00:00	-77.75	-9.25	279.8018	37063.72	9.657815e-07
2014-02-04 13:00:00	-77.75	-9.25	283.51416	37063.72	0.00031571556
2014-02-04 19:00:00	-77.75	-9.25	279.3859	37063.72	0.00040421914
2014-02-05 01:00:00	-77.75	-9.25	277.9128	37063.72	0.00015834067
2014-02-05 07:00:00	-77.75	-9.25	278.77216	37063.72	0.0001062043
2014-02-05 13:00:00	-77.75	-9.25	284.14932	37063.72	0.0006674761
2014-02-05 19:00:00	-77.75	-9.25	278.363	37063.72	0.00043253973
2014-02-06 01:00:00	-77.75	-9.25	277.52142	37063.72	0.00021787919
2014-02-06 07:00:00	-77.75	-9.25	278.9602	37063.72	0.00010974426
2014-02-06 13:00:00	-77.75	-9.25	283.69485	37063.72	0.0006674761
2014-02-06 19:00:00	-77.75	-9.25	279.13293	37063.72	0.000103629194
2014-02-07 01:00:00	-77.75	-9.25	277.31686	37063.72	2.6712194e-05
2014-02-07 07:00:00	-77.75	-9.25	279.32526	37063.72	1.2870878e-06
2014-02-07 13:00:00	-77.75	-9.25	282.4772	37063.72	0.00060214475
2014-02-07 19:00:00	-77.75	-9.25	280.21643	37063.72	0.00013645645
2014-02-08 01:00:00	-77.75	-9.25	278.97	37063.72	6.855e-05
2014-02-08 07:00:00	-77.75	-9.25	279.7932	37063.72	4.9562193e-05
2014-02-08 13:00:00	-77.75	-9.25	283.39963	37063.72	0.0011196481
2014-02-08 19:00:00	-77.75	-9.25	280.89694	37063.72	5.0527044e-05
2014-02-09 01:00:00	-77.75	-9.25	278.3477	37063.72	0.000542284
2014-02-09 07:00:00	-77.75	-9.25	279.117	37063.72	0.00021369569
2014-02-09 13:00:00	-77.75	-9.25	286.2355	37063.72	0.0013224008
2014-02-09 19:00:00	-77.75	-9.25	279.56473	37063.72	0.0001869835
2014-02-10 01:00:00	-77.75	-9.25	278.55716	37063.72	6.211363e-05
